0 1:0.647563 2:0.436292
0 1:0.647563 2:0.624193
0 1:0.647563 2:0.812094
0 1:0.647563 2:0.999994
0 1:0.596283 2:0.436292
0 1:0.596283 2:0.624193
0 1:0.596283 2:0.812094
0 1:0.596283 2:0.999994
0 1:0.553301 2:0.436292
0 1:0.553301 2:0.624193
0 1:0.553301 2:0.812094
0 1:0.553301 2:0.999994
0 1:0.516098 2:0.436292
0 1:0.516098 2:0.624193
0 1:0.516098 2:0.812094
0 1:0.516098 2:0.999994
0 1:0.483583 2:0.436292
0 1:0.483583 2:0.624193
0 1:0.483583 2:0.812094
0 1:0.483583 2:0.999994
0 1:0.454923 2:0.436292
0 1:0.454923 2:0.624193
0 1:0.454923 2:0.812094
0 1:0.454923 2:0.999994
0 1:0.429469 2:0.436292
0 1:0.429469 2:0.624193
0 1:0.429469 2:0.812094
0 1:0.429469 2:0.999994
0 1:0.406713 2:0.436292
0 1:0.406713 2:0.624193
0 1:0.406713 2:0.812094
0 1:0.406713 2:0.999994
